id,stateAbbr,stateName,taxFreedomDay,taxFreedomDayRank
0,United States,United States,4/24/2014,
1,Alabama,Alabama,4/9/2015,4
2,Alaska,Alaska,4/15/2015,15
4,Arizona,Arizona,4/15/2015,15
5,Arkansas,Arkansas,4/14/2015,10
6,California,California,5/3/2015,46
8,Colorado,Colorado,4/25/2015,36
9,Connecticut,Connecticut,5/13/2015,49
10,Delaware,Delaware,4/20/2015,26
11,District of Columbia,District of Columbia,4/23/2015,(36)
12,Florida,Florida,4/20/2015,26
13,Georgia,Georgia,4/15/2015,15
15,Hawaii,Hawaii,4/19/2015,25
16,Idaho,Idaho,4/14/2015,10
17,Illinois,Illinois,4/30/2015,43
18,Indiana,Indiana,4/18/2015,24
19,Iowa,Iowa,4/16/2015,18
20,Kansas,Kansas,4/21/2015,31
21,Kentucky,Kentucky,4/11/2015,6
22,Louisiana,Louisiana,4/2/2015,1
23,Maine,Maine,4/14/2015,10
24,Maryland,Maryland,5/5/2015,47
25,Massachusetts,Massachusetts,5/2/2015,45
26,Michigan,Michigan,4/20/2015,26
27,Minnesota,Minnesota,4/30/2015,43
28,Mississippi,Mississippi,4/4/2015,2
29,Missouri,Missouri,4/14/2015,10
30,Montana,Montana,4/17/2015,20
31,Nebraska,Nebraska,4/17/2015,20
32,Nevada,Nevada,4/20/2015,26
33,New Hampshire,New Hampshire,4/23/2015,35
34,New Jersey,New Jersey,5/13/2015,49
35,New Mexico,New Mexico,4/11/2015,6
36,New York,New York,5/8/2015,48
37,North Carolina,North Carolina,4/16/2015,18
38,North Dakota,North Dakota,4/29/2015,41
39,Ohio,Ohio,4/17/2015,20
40,Oklahoma,Oklahoma,4/14/2015,10
41,Oregon,Oregon,4/22/2015,32
42,Pennsylvania,Pennsylvania,4/25/2015,36
44,Rhode Island,Rhode Island,4/26/2015,39
45,South Carolina,South Carolina,4/12/2015,8
46,South Dakota,South Dakota,4/8/2015,3
47,Tennessee,Tennessee,4/9/2015,4
48,Texas,Texas,4/17/2015,20
49,Utah,Utah,4/20/2015,26
50,Vermont,Vermont,4/22/2015,32
51,Virginia,Virginia,4/27/2015,40
53,Washington,Washington,4/29/2015,41
54,West Virginia,West Virginia,4/13/2015,9
55,Wisconsin,Wisconsin,4/25/2015,36
56,Wyoming,Wyoming,4/22/2015,32
