id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,2677,
1,AL,Alabama,1924,43
2,AK,Alaska,4601,3
4,AZ,Arizona,1973,42
5,AR,Arkansas,3021,15
6,CA,California,3594,10
8,CO,Colorado,2230,38
9,CT,Connecticut,4501,4
10,DE,Delaware,3432,11
12,FL,Florida,1806,49
13,GA,Georgia,1864,46
15,HI,Hawaii,4283,5
16,ID,Idaho,2277,37
17,IL,Illinois,3040,14
18,IN,Indiana,2564,26
19,IA,Iowa,2675,22
20,KS,Kansas,2534,28
21,KY,Kentucky,2524,30
22,LA,Louisiana,2095,40
23,ME,Maine,2895,17
24,MD,Maryland,3189,13
25,MA,Massachusetts,3762,9
26,MI,Michigan,2505,31
27,MN,Minnesota,4267,6
28,MS,Mississippi,2532,29
29,MO,Missouri,1860,47
30,MT,Montana,2618,24
31,NE,Nebraska,2609,25
32,NV,Nevada,2560,27
33,NH,New Hampshire,1726,50
34,NJ,New Jersey,3332,12
35,NM,New Mexico,2759,21
36,NY,New York,3909,7
37,NC,North Carolina,2376,33
38,ND,North Dakota,8458,1
39,OH,Ohio,2335,35
40,OK,Oklahoma,2362,34
41,OR,Oregon,2465,32
42,PA,Pennsylvania,2675,22
44,RI,Rhode Island,2817,19
45,SC,South Carolina,1873,45
46,SD,South Dakota,1903,44
47,TN,Tennessee,1817,48
48,TX,Texas,2085,41
49,UT,Utah,2174,39
50,VT,Vermont,4724,2
51,VA,Virginia,2292,36
53,WA,Washington,2789,20
54,WV,West Virginia,2903,16
55,WI,Wisconsin,2857,18
56,WY,Wyoming,3881,8
