id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,8503,
1,AL,Alabama,7243,41
2,AK,Alaska,20651,1
4,AZ,Arizona,6686,47
5,AR,Arkansas,7237,42
6,CA,California,9320,13
8,CO,Colorado,8254,27
9,CT,Connecticut,10425,5
10,DE,Delaware,10005,7
11,DC,District of Columbia,18397,(2)
12,FL,Florida,6979,45
13,GA,Georgia,6541,49
15,HI,Hawaii,9863,8
16,ID,Idaho,6432,50
17,IL,Illinois,8518,21
18,IN,Indiana,7492,33
19,IA,Iowa,9176,14
20,KS,Kansas,8383,25
21,KY,Kentucky,6985,44
22,LA,Louisiana,8534,19
23,ME,Maine,8525,20
24,MD,Maryland,9126,15
25,MA,Massachusetts,9774,10
26,MI,Michigan,7842,31
27,MN,Minnesota,9495,12
28,MS,Mississippi,8201,29
29,MO,Missouri,7133,43
30,MT,Montana,7950,30
31,NE,Nebraska,8714,17
32,NV,Nevada,6727,46
33,NH,New Hampshire,7459,36
34,NJ,New Jersey,9856,9
35,NM,New Mexico,8773,16
36,NY,New York,13175,4
37,NC,North Carolina,7492,33
38,ND,North Dakota,14003,3
39,OH,Ohio,8251,28
40,OK,Oklahoma,7464,35
41,OR,Oregon,8657,18
42,PA,Pennsylvania,8471,22
44,RI,Rhode Island,9564,11
45,SC,South Carolina,7380,37
46,SD,South Dakota,7373,38
47,TN,Tennessee,6559,48
48,TX,Texas,7250,40
49,UT,Utah,7359,39
50,VT,Vermont,10416,6
51,VA,Virginia,7780,32
53,WA,Washington,8414,23
54,WV,West Virginia,8407,24
55,WI,Wisconsin,8367,26
56,WY,Wyoming,14485,2
