id,stateAbbr,stateName,propertyTax,salesTax,incomeTax,corporateTax,otherTax
0,US,United States,0.315,0.236,0.235,0.034,0.181
1,AL,Alabama,0.171,0.307,0.232,0.024,0.266
2,AK,Alaska,0.537,0.083,0,0.075,0.305
4,AZ,Arizona,0.296,0.387,0.16,0.023,0.133
5,AR,Arkansas,0.18,0.375,0.235,0.038,0.172
6,CA,California,0.257,0.219,0.338,0.041,0.145
8,CO,Colorado,0.308,0.265,0.254,0.024,0.148
9,CT,Connecticut,0.405,0.145,0.292,0.028,0.13
10,DE,Delaware,0.181,0,0.258,0.071,0.49
11,DC,District of Columbia,0.326,0.181,0.257,0.075,0.161
12,FL,Florida,0.363,0.341,0,0.032,0.264
13,GA,Georgia,0.317,0.241,0.277,0.026,0.14
15,HI,Hawaii,0.176,0.372,0.229,0.012,0.211
16,ID,Idaho,0.269,0.265,0.258,0.032,0.177
17,IL,Illinois,0.375,0.193,0.19,0.046,0.195
18,IN,Indiana,0.25,0.284,0.255,0.04,0.171
19,IA,Iowa,0.324,0.228,0.239,0.025,0.185
20,KS,Kansas,0.331,0.321,0.171,0.03,0.147
21,KY,Kentucky,0.203,0.204,0.333,0.047,0.214
22,LA,Louisiana,0.228,0.41,0.157,0.009,0.195
23,ME,Maine,0.404,0.196,0.224,0.02,0.155
24,MD,Maryland,0.257,0.124,0.378,0.031,0.211
25,MA,Massachusetts,0.364,0.138,0.327,0.053,0.118
26,MI,Michigan,0.346,0.226,0.242,0.022,0.164
27,MN,Minnesota,0.257,0.171,0.319,0.045,0.208
28,MS,Mississippi,0.274,0.306,0.167,0.043,0.211
29,MO,Missouri,0.264,0.273,0.286,0.018,0.159
30,MT,Montana,0.397,0,0.297,0.03,0.276
31,NE,Nebraska,0.375,0.224,0.231,0.032,0.138
32,NV,Nevada,0.233,0.394,0,0,0.374
33,NH,New Hampshire,0.647,0,0.014,0.109,0.231
34,NJ,New Jersey,0.466,0.154,0.222,0.037,0.121
35,NM,New Mexico,0.197,0.378,0.174,0.014,0.237
36,NY,New York,0.311,0.167,0.327,0.06,0.135
37,NC,North Carolina,0.249,0.25,0.303,0.027,0.171
38,ND,North Dakota,0.196,0.256,0.07,0.021,0.458
39,OH,Ohio,0.283,0.282,0.256,0.006,0.174
40,OK,Oklahoma,0.202,0.333,0.221,0.024,0.22
41,OR,Oregon,0.32,0,0.417,0.037,0.225
42,PA,Pennsylvania,0.292,0.172,0.262,0.045,0.229
44,RI,Rhode Island,0.434,0.166,0.21,0.025,0.166
45,SC,South Carolina,0.339,0.221,0.227,0.026,0.187
46,SD,South Dakota,0.354,0.396,0,0.01,0.241
47,TN,Tennessee,0.252,0.415,0.015,0.07,0.249
48,TX,Texas,0.438,0.354,0,0,0.207
49,UT,Utah,0.272,0.248,0.296,0.029,0.155
50,VT,Vermont,0.439,0.104,0.198,0.027,0.231
51,VA,Virginia,0.339,0.138,0.319,0.02,0.185
53,WA,Washington,0.284,0.464,0,0,0.251
54,WV,West Virginia,0.234,0.184,0.258,0.02,0.304
55,WI,Wisconsin,0.341,0.198,0.271,0.036,0.155
56,WY,Wyoming,0.432,0.252,0,0,0.317
