id,stateAbbr,stateName,federalAidPercentage,federalAidPercentageRank
0,US,United States,0.300,
1,AL,Alabama,0.349,14
2,AK,Alaska,0.269,40
4,AZ,Arizona,0.359,11
5,AR,Arkansas,0.335,21
6,CA,California,0.260,43
8,CO,Colorado,0.291,34
9,CT,Connecticut,0.246,48
10,DE,Delaware,0.267,42
12,FL,Florida,0.332,22
13,GA,Georgia,0.367,8
15,HI,Hawaii,0.248,46
16,ID,Idaho,0.338,19
17,IL,Illinois,0.268,41
18,IN,Indiana,0.330,23
19,IA,Iowa,0.326,26
20,KS,Kansas,0.255,45
21,KY,Kentucky,0.385,5
22,LA,Louisiana,0.401,2
23,ME,Maine,0.366,9
24,MD,Maryland,0.294,32
25,MA,Massachusetts,0.278,37
26,MI,Michigan,0.323,27
27,MN,Minnesota,0.255,44
28,MS,Mississippi,0.409,1
29,MO,Missouri,0.380,6
30,MT,Montana,0.391,4
31,NE,Nebraska,0.310,29
32,NV,Nevada,0.248,47
33,NH,New Hampshire,0.281,36
34,NJ,New Jersey,0.273,39
35,NM,New Mexico,0.345,17
36,NY,New York,0.328,24
37,NC,North Carolina,0.327,25
38,ND,North Dakota,0.168,50
39,OH,Ohio,0.350,13
40,OK,Oklahoma,0.340,18
41,OR,Oregon,0.360,10
42,PA,Pennsylvania,0.308,30
44,RI,Rhode Island,0.347,16
45,SC,South Carolina,0.307,31
46,SD,South Dakota,0.372,7
47,TN,Tennessee,0.399,3
48,TX,Texas,0.318,28
49,UT,Utah,0.281,35
50,VT,Vermont,0.336,20
51,VA,Virginia,0.228,49
53,WA,Washington,0.292,33
54,WV,West Virginia,0.348,15
55,WI,Wisconsin,0.278,38
56,WY,Wyoming,0.355,12
