id,stateAbbr,stateName,federalAidPercentage,federalAidPercentageRank
0,US,United States,0.227,
1,AL,Alabama,0.368,14
2,AK,Alaska,0.393,7
4,AZ,Arizona,0.431,5
5,AR,Arkansas,0.372,13
6,CA,California,0.307,34
8,CO,Colorado,0.300,36
9,CT,Connecticut,0.270,43
10,DE,Delaware,0.281,42
12,FL,Florida,0.328,27
13,GA,Georgia,0.343,18
15,HI,Hawaii,0.207,50
16,ID,Idaho,0.307,33
17,IL,Illinois,0.285,41
18,IN,Indiana,0.380,10
19,IA,Iowa,0.294,37
20,KS,Kansas,0.233,48
21,KY,Kentucky,0.389,8
22,LA,Louisiana,0.437,3
23,ME,Maine,0.343,19
24,MD,Maryland,0.312,31
25,MA,Massachusetts,0.287,39
26,MI,Michigan,0.331,23
27,MN,Minnesota,0.260,46
28,MS,Mississippi,0.433,4
29,MO,Missouri,0.377,12
30,MT,Montana,0.461,1
31,NE,Nebraska,0.309,32
32,NV,Nevada,0.326,29
33,NH,New Hampshire,0.332,22
34,NJ,New Jersey,0.287,40
35,NM,New Mexico,0.406,6
36,NY,New York,0.359,15
37,NC,North Carolina,0.305,35
38,ND,North Dakota,0.268,44
39,OH,Ohio,0.339,20
40,OK,Oklahoma,0.338,21
41,OR,Oregon,0.328,26
42,PA,Pennsylvania,0.350,16
44,RI,Rhode Island,0.328,25
45,SC,South Carolina,0.319,30
46,SD,South Dakota,0.348,17
47,TN,Tennessee,0.377,11
48,TX,Texas,0.326,28
49,UT,Utah,0.242,47
50,VT,Vermont,0.330,24
51,VA,Virginia,0.211,49
53,WA,Washington,0.292,38
54,WV,West Virginia,0.381,9
55,WI,Wisconsin,0.263,45
56,WY,Wyoming,0.445,2
