id,stateAbbr,stateName,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan,,
1,AL,Alabama,0.02,0,500,,
1,AL,Alabama,0.04,500,3000,,
1,AL,Alabama,0.05,3000,,,
2,AK,Alaska,None,,,,
4,AZ,Arizona,0.0259,0,10346,,
4,AZ,Arizona,0.0288,10346,25861,,
4,AZ,Arizona,0.0336,26861,51721,,
4,AZ,Arizona,0.0424,51721,155159,,
4,AZ,Arizona,0.0454,155159,,,
5,AR,Arkansas,0.009,0,4299,,
5,AR,Arkansas,0.025,4299,8399,,
5,AR,Arkansas,0.035,8399,12599,,
5,AR,Arkansas,0.045,12599,20999,,
5,AR,Arkansas,0.06,20999,35099,,
5,AR,Arkansas,0.069,35099,,,
6,CA,California,0.01,0,8223,,**
6,CA,California,0.02,8223,19495,,
6,CA,California,0.04,19495,30769,,
6,CA,California,0.06,30769,42711,,
6,CA,California,0.08,42711,53980,,
6,CA,California,0.093,53980,275738,,
6,CA,California,0.103,275738,330884,,
6,CA,California,0.113,330884,551473,,
6,CA,California,0.123,551473,1000000,,
6,CA,California,0.133,1000000,,,
8,CO,Colorado,0.0463,0,,,
9,CT,Connecticut,0.03,0,10000,,
9,CT,Connecticut,0.05,10000,50000,,
9,CT,Connecticut,0.055,50000,100000,,
9,CT,Connecticut,0.06,100000,200000,,
9,CT,Connecticut,0.065,200000,250000,,
9,CT,Connecticut,0.069,250000,500000,,
9,CT,Connecticut,0.0699,500000,2000,,
10,DE,Delaware,0.022,2000,5000,,
10,DE,Delaware,0.039,5000,10000,,
10,DE,Delaware,0.048,10000,20000,,
10,DE,Delaware,0.052,20000,25000,,
10,DE,Delaware,0.0555,25000,60000,,
10,DE,Delaware,0.066,60000,,,
11,DC,District of Columbia,0.04,0,10000,,
11,DC,District of Columbia,0.06,10000,40000,,
11,DC,District of Columbia,0.065,40000,60000,,
11,DC,District of Columbia,0.085,60000,350000,,
11,DC,District of Columbia,0.0875,350000,1000000,,
12,DC,District of Columbia,0.0895,1000000,,,
12,FL,Florida,None,,,,
13,GA,Georgia,0.01,0,750,,
13,GA,Georgia,0.02,750,2250,,
13,GA,Georgia,0.03,2250,3750,,
13,GA,Georgia,0.04,3750,5250,,
13,GA,Georgia,0.05,5250,7000,,
13,GA,Georgia,0.06,7000,,,
15,HI,Hawaii,0.014,0,2400,,
15,HI,Hawaii,0.032,2400,4800,,
15,HI,Hawaii,0.055,4800,9600,,
15,HI,Hawaii,0.064,9600,14400,,
15,HI,Hawaii,0.068,14400,19200,,
15,HI,Hawaii,0.072,19200,24000,,
15,HI,Hawaii,0.076,24000,36000,,
15,HI,Hawaii,0.079,36000,48000,,
15,HI,Hawaii,0.0825,48000,150000,,
15,HI,Hawaii,0.09,150000,175000,,
15,HI,Hawaii,0.1,175000,200000,,
15,HI,Hawaii,0.11,200000,,,
16,ID,Idaho,0.016,0,1472,,
16,ID,Idaho,0.036,1472,2945,,
16,ID,Idaho,0.041,2945,4417,,
16,ID,Idaho,0.051,4417,5890,,
16,ID,Idaho,0.061,5890,7362,,
16,ID,Idaho,0.071,7362,11043,,
16,ID,Idaho,0.074,11043,,,
17,IL,Illinois,0.0495,0,,,
18,IN,Indiana,0.0323,0,,,
19,IA,Iowa,0.0036,0,1598,,
19,IA,Iowa,0.0072,1598,3196,,
19,IA,Iowa,0.0243,3196,6392,,
19,IA,Iowa,0.045,6392,14382,,
19,IA,Iowa,0.0612,14382,23970,,
19,IA,Iowa,0.0648,23970,31960,,
19,IA,Iowa,0.068,31960,47490,,
19,IA,Iowa,0.0792,47490,71910,,
19,IA,Iowa,0.0898,71910,,,
20,KS,Kansas,0.031,2500,15000,,
20,KS,Kansas,0.0525,15000,30000,,
20,KS,Kansas,0.057,30000,,,
21,KY,Kentucky,0.02,0,3000,,
21,KY,Kentucky,0.03,3000,4000,,
21,KY,Kentucky,0.04,4000,5000,,
21,KY,Kentucky,0.05,5000,8000,,
21,KY,Kentucky,0.058,8000,75000,,
21,KY,Kentucky,0.06,75000,,,
22,LA,Louisiana,0.02,0,12500,,
22,LA,Louisiana,0.04,12500,50000,,
22,LA,Louisiana,0.06,50000,,,
23,ME,Maine,0.058,0,21050,,
23,ME,Maine,0.0675,21505,50000,,
23,ME,Maine,0.0715,50000,,,
24,MD,Maryland,0.02,0,1000,,
24,MD,Maryland,0.03,1000,2000,,
24,MD,Maryland,0.04,2000,3000,,
24,MD,Maryland,0.0475,3000,100000,,
24,MD,Maryland,0.05,100000,125000,,
24,MD,Maryland,0.0525,125000,150000,,
24,MD,Maryland,0.055,150000,250000,,
24,MD,Maryland,0.0575,250000,,,
25,MA,Massachusetts,0.051,0,,,
26,MI,Michigan,0.0425,0,,,
27,MN,Minnesota,0.0535,0,25890,,
27,MN,Minnesota,0.0705,25890,85060,,
27,MN,Minnesota,0.0785,85060,160020,,
27,MN,Minnesota,0.0985,160020,,,
28,MS,Mississippi,0.03,0,5000,,
28,MS,Mississippi,0.04,5000,10000,,
28,MS,Mississippi,0.05,10000,,,
29,MO,Missouri,0.015,101,1008,,
29,MO,Missouri,0.02,1008,2016,,
29,MO,Missouri,0.025,2016,3024,,
29,MO,Missouri,0.03,3024,4032,,
29,MO,Missouri,0.035,4032,5040,,
29,MO,Missouri,0.04,5040,6048,,
29,MO,Missouri,0.045,6048,7056,,
29,MO,Missouri,0.05,7056,8064,,
29,MO,Missouri,0.055,8064,9072,,
29,MO,Missouri,0.059,9072,,,
30,MT,Montana,0.01,0,3000,,
30,MT,Montana,0.02,3000,5200,,
30,MT,Montana,0.03,5200,8000,,
30,MT,Montana,0.04,8000,10800,,
30,MT,Montana,0.05,10800,13900,,
30,MT,Montana,0.06,13900,17900,,
30,MT,Montana,0.069,17900,,,
31,NE,Nebraska,0.0246,0,3150,,
