id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,1083,
1,AL,Alabama,744,35
2,AK,Alaska,0,--
4,AZ,Arizona,491,40
5,AR,Arkansas,921,30
6,CA,California,2130,4
8,CO,Colorado,1211,13
9,CT,Connecticut,2218,2
10,DE,Delaware,1228,12
12,FL,Florida,0,--
13,GA,Georgia,1053,22
15,HI,Hawaii,1468,10
16,ID,Idaho,967,27
17,IL,Illinois,1036,23
18,IN,Indiana,815,32
19,IA,Iowa,1162,18
20,KS,Kansas,799,33
21,KY,Kentucky,987,26
22,LA,Louisiana,630,38
23,ME,Maine,1149,20
24,MD,Maryland,1498,9
25,MA,Massachusetts,2146,3
26,MI,Michigan,952,28
27,MN,Minnesota,1965,6
28,MS,Mississippi,615,39
29,MO,Missouri,1006,24
30,MT,Montana,1121,21
31,NE,Nebraska,1161,19
32,NV,Nevada,0,--
33,NH,New Hampshire,49,42
34,NJ,New Jersey,1550,7
35,NM,New Mexico,641,37
36,NY,New York,2249,1
37,NC,North Carolina,1176,15
38,ND,North Dakota,423,41
39,OH,Ohio,719,36
40,OK,Oklahoma,794,34
41,OR,Oregon,2023,5
42,PA,Pennsylvania,942,29
44,RI,Rhode Island,1169,16
45,SC,South Carolina,824,31
46,SD,South Dakota,0,--
47,TN,Tennessee,37,43
48,TX,Texas,0,--
49,UT,Utah,1167,17
50,VT,Vermont,1192,14
51,VA,Virginia,1541,8
53,WA,Washington,0,--
54,WV,West Virginia,999,25
55,WI,Wisconsin,1345,11
56,WY,Wyoming,0,--
