id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,145,
1,AL,Alabama,84,42
2,AK,Alaska,555,1
4,AZ,Arizona,85,41
5,AR,Arkansas,134,23
6,CA,California,228,10
8,CO,Colorado,134,23
9,CT,Connecticut,175,14
10,DE,Delaware,298,6
12,FL,Florida,103,34
13,GA,Georgia,93,37
15,HI,Hawaii,89,38
16,ID,Idaho,116,28
17,IL,Illinois,333,4
18,IN,Indiana,131,25
19,IA,Iowa,125,26
20,KS,Kansas,114,29
21,KY,Kentucky,153,19
22,LA,Louisiana,104,33
23,ME,Maine,138,21
24,MD,Maryland,164,17
25,MA,Massachusetts,325,5
26,MI,Michigan,89,38
27,MN,Minnesota,241,9
28,MS,Mississippi,176,13
29,MO,Missouri,59,44
30,MT,Montana,147,20
31,NE,Nebraska,163,18
32,NV,Nevada,0,--
33,NH,New Hampshire,409,2
34,NJ,New Jersey,265,7
35,NM,New Mexico,99,36
36,NY,New York,246,8
37,NC,North Carolina,137,22
38,ND,North Dakota,338,3
39,OH,Ohio,0,--
40,OK,Oklahoma,102,35
41,OR,Oregon,125,26
42,PA,Pennsylvania,180,11
44,RI,Rhode Island,114,29
45,SC,South Carolina,68,43
46,SD,South Dakota,29,45
47,TN,Tennessee,180,11
48,TX,Texas,0,--
49,UT,Utah,105,32
50,VT,Vermont,169,16
51,VA,Virginia,89,38
53,WA,Washington,0,--
54,WV,West Virginia,110,31
55,WI,Wisconsin,171,15
56,WY,Wyoming,0,--
