id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,168,
1,AL,Alabama,77,40
2,AK,Alaska,286,5
4,AZ,Arizona,83,38
5,AR,Arkansas,151,21
6,CA,California,252,8
8,CO,Colorado,113,27
9,CT,Connecticut,201,12
10,DE,Delaware,340,4
11,DC,District of Columbia,813,1*
12,FL,Florida,110,29
13,GA,Georgia,95,33
15,HI,Hawaii,76,41
16,ID,Idaho,112,28
17,IL,Illinois,262,7
18,IN,Indiana,156,19
19,IA,Iowa,120,25
20,KS,Kansas,135,24
21,KY,Kentucky,178,14
22,LA,Louisiana,37,45
23,ME,Maine,103,32
24,MD,Maryland,187,13
25,MA,Massachusetts,342,3
26,MI,Michigan,90,34
27,MN,Minnesota,274,6
28,MS,Mississippi,155,20
29,MO,Missouri,66,42
30,MT,Montana,115,26
31,NE,Nebraska,161,17
32,NV,Nevada,0,--
33,NH,New Hampshire,525,2
34,NJ,New Jersey,248,9
35,NM,New Mexico,55,43
36,NY,New York,535,1
37,NC,North Carolina,105,31
38,ND,North Dakota,136,22
39,OH,Ohio,26,46
40,OK,Oklahoma,84,37
41,OR,Oregon,169,16
42,PA,Pennsylvania,228,11
44,RI,Rhode Island,136,23
45,SC,South Carolina,89,36
46,SD,South Dakota,38,44
47,TN,Tennessee,231,10
48,TX,Texas,0,--
49,UT,Utah,110,30
50,VT,Vermont,158,18
51,VA,Virginia,89,35
53,WA,Washington,0,--
54,WV,West Virginia,79,39
55,WI,Wisconsin,171,15
56,WY,Wyoming,0,--
