id,stateAbbr,stateName,stateSalesTaxRate,stateSalesTaxRateRank,avgLocalSalesTaxRate,combinedStateLocalSalesTaxRate,combinedStateLocalSalesTaxRateRank
1,AL,Alabama,0.04,40,0.051,0.091,5
2,AK,Alaska,--,46,0.0176,0.0176,46
4,AZ,Arizona,0.056,28,0.0273,0.0833,11
5,AR,Arkansas,0.065,9,0.0291,0.0941,3
6,CA,California,0.0725,1,0.0129,0.0854,9
8,CO,Colorado,0.029,45,0.0462,0.0752,16
9,CT,Connecticut,0.0635,12,--,0.0635,33
10,DE,Delaware,0.0575,27,--,0.0575,41
11,DC,District of Columbia,--,46,--,--,47
12,FL,Florida,0.06,16,0.008,0.068,28
13,GA,Georgia,0.04,40,0.0315,0.0715,20
15,HI,Hawaii,0.04,40,0.0035,0.0435,45
16,ID,Idaho,0.06,16,0.0003,0.0603,37
17,IL,Illinois,0.0625,13,0.0245,0.087,7
18,IN,Indiana,0.07,2,--,0.07,22
19,IA,Iowa,0.06,16,0.008,0.068,27
20,KS,Kansas,0.065,9,0.0218,0.0868,8
21,KY,Kentucky,0.06,16,--,0.06,38
22,LA,Louisiana,0.05,33,0.0502,0.1002,1
23,ME,Maine,0.055,29,--,0.055,42
24,MD,Maryland,0.06,16,--,0.06,38
25,MA,Massachusetts,0.0625,13,--,0.0625,35
26,MI,Michigan,0.06,16,--,0.06,38
27,MN,Minnesota,0.06875,6,0.0055,0.0742,17
28,MS,Mississippi,0.07,2,0.0007,0.0707,21
29,MO,Missouri,0.04225,39,0.038,0.0803,14
30,MT,Montana,--,46,--,--,47
31,NE,Nebraska,0.055,29,0.0139,0.0689,25
32,NV,Nevada,0.0685,7,0.0129,0.0814,13
33,NH,New Hampshire,--,46,--,--,47
34,NJ,New Jersey,0.06625,8,-0.0003,0.0660,30
35,NM,New Mexico,0.05125,32,0.0254,0.0766,15
36,NY,New York,0.04,40,0.0449,0.0849,10
37,NC,North Carolina,0.0475,36,0.022,0.0695,24
38,ND,North Dakota,0.05,33,0.018,0.068,26
39,OH,Ohio,0.0575,27,0.014,0.0715,19
40,OK,Oklahoma,0.045,37,0.0441,0.0891,6
41,OR,Oregon,--,46,--,--,47
42,PA,Pennsylvania,0.06,16,0.0034,0.0634,34
44,RI,Rhode Island,0.07,2,--,0.07,22
45,SC,South Carolina,0.06,16,0.0137,0.0737,18
46,SD,South Dakota,0.045,37,0.019,0.064,31
47,TN,Tennessee,0.07,2,0.0246,0.0946,2
48,TX,Texas,0.0625,13,0.0192,0.0817,12
49,UT,Utah,0.0595,26,0.0082,0.0677,29
50,VT,Vermont,0.06,16,0.0018,0.0618,36
51,VA,Virginia,0.053,31,0.0033,0.0563,41
53,WA,Washington,0.065,9,0.0268,0.0918,4
54,WV,West Virginia,0.06,16,0.0037,0.0637,32
55,WI,Wisconsin,0.05,33,0.0042,0.0542,44
56,WY,Wyoming,0.04,40,0.0146,0.0546,43
