id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,851,
1,AL,Alabama,494,43
2,AK,Alaska,0,--
4,AZ,Arizona,891,21
5,AR,Arkansas,1055,12
6,CA,California,960,17
8,CO,Colorado,488,44
9,CT,Connecticut,1108,7
10,DE,Delaware,0,--
12,FL,Florida,1079,9
13,GA,Georgia,508,42
15,HI,Hawaii,1989,1
16,ID,Idaho,840,26
17,IL,Illinois,661,34
18,IN,Indiana,1061,11
19,IA,Iowa,855,24
20,KS,Kansas,1028,13
21,KY,Kentucky,710,30
22,LA,Louisiana,629,37
23,ME,Maine,896,20
24,MD,Maryland,702,31
25,MA,Massachusetts,817,27
26,MI,Michigan,849,25
27,MN,Minnesota,997,15
28,MS,Mississippi,1104,8
29,MO,Missouri,542,41
30,MT,Montana,0,--
31,NE,Nebraska,937,19
32,NV,Nevada,1349,4
33,NH,New Hampshire,0,--
34,NJ,New Jersey,994,16
35,NM,New Mexico,1006,14
36,NY,New York,641,36
37,NC,North Carolina,588,39
38,ND,North Dakota,1784,2
39,OH,Ohio,881,22
40,OK,Oklahoma,670,33
41,OR,Oregon,0,--
42,PA,Pennsylvania,742,29
44,RI,Rhode Island,868,23
45,SC,South Carolina,698,32
46,SD,South Dakota,1072,10
47,TN,Tennessee,946,18
48,TX,Texas,1199,6
49,UT,Utah,619,38
50,VT,Vermont,566,40
51,VA,Virginia,427,45
53,WA,Washington,1666,3
54,WV,West Virginia,661,34
55,WI,Wisconsin,804,28
56,WY,Wyoming,1310,5
