id,stateAbbr,stateName,collectionsPerCapita,collectionsPerCapitaRank
0,US,United States,1196,
1,AL,Alabama,1039,31
2,AK,Alaska,316,46
4,AZ,Arizona,1371,13
5,AR,Arkansas,1511,8
6,CA,California,1246,17
8,CO,Colorado,1339,14
9,CT,Connecticut,1185,19
10,DE,Delaware,0,--
11,DC,District of Columbia,1967,3*
12,FL,Florida,1323,16
13,GA,Georgia,892,39
15,HI,Hawaii,2431,2
16,ID,Idaho,984,33
17,IL,Illinois,1127,24
18,IN,Indiana,1135,22
19,IA,Iowa,1128,23
20,KS,Kansas,1477,9
21,KY,Kentucky,784,40
22,LA,Louisiana,1851,3
23,ME,Maine,1080,27
24,MD,Maryland,765,41
25,MA,Massachusetts,909,37
26,MI,Michigan,925,36
27,MN,Minnesota,1097,26
28,MS,Mississippi,1180,20
29,MO,Missouri,1048,30
30,MT,Montana,0,--
31,NE,Nebraska,1167,21
32,NV,Nevada,1846,4
33,NH,New Hampshire,0,--
34,NJ,New Jersey,1079,28
35,NM,New Mexico,1604,6
36,NY,New York,1551,7
37,NC,North Carolina,1026,32
38,ND,North Dakota,1476,10
39,OH,Ohio,1337,15
40,OK,Oklahoma,1185,18
41,OR,Oregon,0,--
42,PA,Pennsylvania,894,38
44,RI,Rhode Island,943,35
45,SC,South Carolina,760,42
46,SD,South Dakota,1648,5
47,TN,Tennessee,1393,12
48,TX,Texas,1426,11
49,UT,Utah,1071,29
50,VT,Vermont,627,45
51,VA,Virginia,642,44
53,WA,Washington,2476,1
54,WV,West Virginia,758,43
55,WI,Wisconsin,969,34
56,WY,Wyoming,1116,25
