id,stateAbbr,stateName,exciseTax,otherTax,total,totalRank
0,US,United States,0.184,0,,
1,AL,Alabama,0.16,0.0487,0.2087,40
2,AK,Alaska,0.0895,0.033,0.1225,50
4,AZ,Arizona,0.18,0.01,0.19,43
5,AR,Arkansas,0.215,0.003,0.218,38
6,CA,California,0.3,0.1062,0.4062,5
8,CO,Colorado,0.22,0,0.22,37
9,CT,Connecticut,0.25,0.1251,0.3751,6
10,DE,Delaware,0.23,0,0.23,34
11,DC,District of Columbia,0.235,0,0.235,(34)
12,FL,Florida,0.04,0.3258,0.3658,7
13,GA,Georgia,0.26,0.0502,0.3102,17
15,HI,Hawaii,0.17,0.2535,0.4235,4
16,ID,Idaho,0.32,0,0.32,14
17,IL,Illinois,0.19,0.1118,0.3018,20
18,IN,Indiana,0.18,0.1189,0.2989,23
19,IA,Iowa,0.31,0.01,0.32,14
20,KS,Kansas,0.24,0.0003,0.2403,31
21,KY,Kentucky,0.246,0.014,0.26,30
22,LA,Louisiana,0.2,0.0001,0.2001,41
23,ME,Maine,0.3,0.0001,0.3001,21
24,MD,Maryland,0.246,0.08,0.326,13
25,MA,Massachusetts,0.24,0.0254,0.2654,29
26,MI,Michigan,0.19,0.1154,0.3054,18
27,MN,Minnesota,0.285,0.001,0.286,25
28,MS,Mississippi,0.18,0.0079,0.1879,45
29,MO,Missouri,0.17,0.003,0.173,46
30,MT,Montana,0.27,0.0075,0.2775,27
31,NE,Nebraska,0.268,0.009,0.277,28
32,NV,Nevada,0.23,0.1085,0.3385,11
33,NH,New Hampshire,0.222,0.0163,0.2383,33
34,NJ,New Jersey,0.105,0.04,0.145,49
35,NM,New Mexico,0.17,0.0188,0.1888,11
36,NY,New York,0.0805,0.3459,0.4264,3
37,NC,North Carolina,0.35,0.0025,0.3525,8
38,ND,North Dakota,0.23,0,0.23,34
39,OH,Ohio,0.28,0,0.28,26
40,OK,Oklahoma,0.16,0.01,0.17,47
41,OR,Oregon,0.3,0.011,0.311,16
42,PA,Pennsylvania,0,0.504,0.504,1
44,RI,Rhode Island,0.33,0.01,0.34,10
45,SC,South Carolina,0.16,0.0075,0.1675,48
46,SD,South Dakota,0.28,0.02,0.3,22
47,TN,Tennessee,0.2,0.014,0.214,39
48,TX,Texas,0.2,0,0.2,42
49,UT,Utah,0.294,0.0001,0.2941,24
50,VT,Vermont,0.121,0.1836,0.3046,19
51,VA,Virginia,0.1983,0.025,0.2233,36
53,WA,Washington,0.445,0,0.445,2
54,WV,West Virginia,0.205,0.127,0.346,9
55,WI,Wisconsin,0.309,0.02,0.329,12
56,WY,Wyoming,0.23,0.01,0.24,32
