id,stateAbbr,stateName,exciseTax,otherTax,total,totalRank
0,US,United States,0.184,,,
1,AL,Alabama,0.18,0.0291,0.2091,41
2,AK,Alaska,0.0895,0.0335,0.123,50
4,AZ,Arizona,0.18,0.01,0.19,45
5,AR,Arkansas,0.215,0.003,0.218,40
6,CA,California,0.417,0.1179,0.5349,2
8,CO,Colorado,0.22,0,0.22,39
9,CT,Connecticut,0.25,0.143,0.393,9
10,DE,Delaware,0.23,0,0.23,36
11,DC,District of Columbia,0.235,0,0.235,32*
12,FL,Florida,0.04,0.3759,0.4159,8
13,GA,Georgia,0.268,0.0479,0.3159,21
15,HI,Hawaii,0.17,0.2903,0.4603,4
16,ID,Idaho,0.32,0.01,0.33,18
17,IL,Illinois,0.19,0.1622,0.3522,14
18,IN,Indiana,0.28,0.139,0.419,7
19,IA,Iowa,0.305,0,0.305,23
20,KS,Kansas,0.24,0.00025,0.24025,33
21,KY,Kentucky,0.246,0.014,0.26,31
22,LA,Louisiana,0.2,0.0001,0.2001,43
23,ME,Maine,0.3,0.0001,0.3001,24
24,MD,Maryland,0.255,0.083,0.338,16
25,MA,Massachusetts,0.24,0.0254,0.2654,30
26,MI,Michigan,0.263,0.1608,0.4238,6
27,MN,Minnesota,0.285,0.001,0.286,28
28,MS,Mississippi,0.18,0.0079,0.1879,47
29,MO,Missouri,0.17,0.0035,0.1735,48
30,MT,Montana,0.315,0.0075,0.3225,20
31,NE,Nebraska,0.284,0.009,0.293,27
32,NV,Nevada,0.23,0.1052,0.3352,17
33,NH,New Hampshire,0.222,0.0163,0.2383,35
34,NJ,New Jersey,0.105,0.266,0.371,10
35,NM,New Mexico,0.17,0.0188,0.1888,46
36,NY,New York,0.0805,0.3625,0.443,5
37,NC,North Carolina,0.351,0.0025,0.3535,13
38,ND,North Dakota,0.23,0,0.23,36
39,OH,Ohio,0.28,0.0001,0.2801,29
40,OK,Oklahoma,0.16,0.01,0.17,49
41,OR,Oregon,0.34,0.0277,0.3677,11
42,PA,Pennsylvania,0,0.587,0.587,1
44,RI,Rhode Island,0.33,0.01,0.34,15
45,SC,South Carolina,0.2,0.0075,0.2075,42
46,SD,South Dakota,0.28,0.02,0.3,25
47,TN,Tennessee,0.24,0.014,0.254,32
48,TX,Texas,0.2,0,0.2,44
49,UT,Utah,0.294,0.0001,0.2941,26
50,VT,Vermont,0.121,0.1862,0.3072,22
51,VA,Virginia,0.199,0.025,0.224,38
53,WA,Washington,0.494,0,0.494,3
54,WV,West Virginia,0.205,0.152,0.357,12
55,WI,Wisconsin,0.309,0.02,0.329,19
56,WY,Wyoming,0.23,0.01,0.24,34
