id,stateAbbr,stateName,gasolineAndLicenseTaxes,gasolineAndLicenseTaxesRank,tollsAndUserFees,totalRate,totalRateRank
0,US,United States,0.41,,0.123,0.534,
1,AL,Alabama,0.346,32,0.011,0.357,44
2,AK,Alaska,0.069,50,0.057,0.127,50
4,AZ,Arizona,0.458,16,0.015,0.473,30
5,AR,Arkansas,0.368,26,0.006,0.374,39
6,CA,California,0.513,8,0.087,0.6,12
8,CO,Colorado,0.429,22,0.083,0.513,20
9,CT,Connecticut,0.33,37,0.037,0.366,43
10,DE,Delaware,0.234,48,0.433,0.667,5
11,DC,District of Columbia,0.224,49*,0.129,0.353,45*
12,FL,Florida,0.499,12,0.221,0.72,2
13,GA,Georgia,0.488,13,0.015,0.503,23
15,HI,Hawaii,0.71,1,0.024,0.734,1
16,ID,Idaho,0.621,3,0.045,0.666,6
17,IL,Illinois,0.34,34,0.137,0.477,29
18,IN,Indiana,0.433,20,0.007,0.44,32
19,IA,Iowa,0.508,9,0.014,0.521,19
20,KS,Kansas,0.349,30,0.066,0.415,35
21,KY,Kentucky,0.347,31,0.032,0.379,38
22,LA,Louisiana,0.317,42,0.027,0.344,45
23,ME,Maine,0.346,33,0.148,0.494,28
24,MD,Maryland,0.437,19,0.247,0.684,4
25,MA,Massachusetts,0.322,39,0.173,0.496,26
26,MI,Michigan,0.539,5,0.064,0.603,11
27,MN,Minnesota,0.327,38,0.046,0.372,42
28,MS,Mississippi,0.367,27,0.007,0.374,40
29,MO,Missouri,0.422,24,0.027,0.449,31
30,MT,Montana,0.389,25,0.04,0.429,33
31,NE,Nebraska,0.34,35,0.034,0.373,41
32,NV,Nevada,0.485,14,0.01,0.495,27
33,NH,New Hampshire,0.36,29,0.231,0.592,13
34,NJ,New Jersey,0.252,46,0.468,0.719,3
35,NM,New Mexico,0.501,11,0.022,0.523,18
36,NY,New York,0.262,45,0.389,0.651,7
37,NC,North Carolina,0.636,2,0.014,0.65,8
38,ND,North Dakota,0.175,49,0.015,0.191,49
39,OH,Ohio,0.449,17,0.063,0.512,21
40,OK,Oklahoma,0.462,15,0.118,0.58,15
41,OR,Oregon,0.515,7,0.075,0.59,14
42,PA,Pennsylvania,0.364,28,0.146,0.51,22
44,RI,Rhode Island,0.318,41,0.091,0.409,37
45,SC,South Carolina,0.439,18,0.061,0.5,24
46,SD,South Dakota,0.276,44,0.013,0.289,47
47,TN,Tennessee,0.606,4,0.005,0.611,10
48,TX,Texas,0.43,21,0.15,0.579,16
49,UT,Utah,0.53,6,0.046,0.575,17
50,VT,Vermont,0.236,47,0.017,0.253,48
51,VA,Virginia,0.338,36,0.079,0.417,34
53,WA,Washington,0.505,10,0.13,0.635,9
54,WV,West Virginia,0.32,40,0.091,0.411,36
55,WI,Wisconsin,0.427,23,0.071,0.498,25
56,WY,Wyoming,0.302,43,0.013,0.315,46
