id,stateAbbr,stateName,taxPerGallon,taxPerGallonRank
0,US,United States,0.58,
1,AL,Alabama,1.05,3
2,AK,Alaska,1.07,2
4,AZ,Arizona,0.16,35
5,AR,Arkansas,0.35,18
6,CA,California,0.2,28
8,CO,Colorado,0.08,45
9,CT,Connecticut,0.23,26
10,DE,Delaware,0.16,35
11,DC,District of Columbia,0.68,-6
12,FL,Florida,0.48,11
13,GA,Georgia,1.01,4
15,HI,Hawaii,0.93,5
16,ID,Idaho,0.15,38
17,IL,Illinois,0.23,26
18,IN,Indiana,0.12,41
19,IA,Iowa,0.19,31
20,KS,Kansas,0.18,32
21,KY,Kentucky,0.83,6
22,LA,Louisiana,0.4,15
23,ME,Maine,0.35,18
24,MD,Maryland,0.52,9
25,MA,Massachusetts,0.11,44
26,MI,Michigan,0.2,28
27,MN,Minnesota,0.49,10
28,MS,Mississippi,0.43,12
29,MO,Missouri,0.06,48
30,MT,Montana,0.14,39
31,NE,Nebraska,0.31,20
32,NV,Nevada,0.16,35
33,NH,New Hampshire,0.3,21
34,NJ,New Jersey,0.12,41
35,NM,New Mexico,0.41,13
36,NY,New York,0.14,39
37,NC,North Carolina,0.62,8
38,ND,North Dakota,0.39,17
39,OH,Ohio,0.18,32
40,OK,Oklahoma,0.4,15
41,OR,Oregon,0.08,45
42,PA,Pennsylvania,0.08,45
44,RI,Rhode Island,0.12,41
45,SC,South Carolina,0.77,7
46,SD,South Dakota,0.27,22
47,TN,Tennessee,1.29,1
48,TX,Texas,0.2,28
49,UT,Utah,0.41,13
50,VT,Vermont,0.27,22
51,VA,Virginia,0.26,24
53,WA,Washington,0.26,24
54,WV,West Virginia,0.18,32
55,WI,Wisconsin,0.06,48
56,WY,Wyoming,0.02,50
