id,stateAbbr,stateName,taxPerGallon,taxPerGallonRank
0,US,United States,0.58,
1,AL,Alabama,0.53,8
2,AK,Alaska,1.07,2
4,AZ,Arizona,0.16,36
5,AR,Arkansas,0.34,19
6,CA,California,0.2,30
8,CO,Colorado,0.08,46
9,CT,Connecticut,0.23,27
10,DE,Delaware,0.26,24
11,DC,District of Columbia,0.71,6*
12,FL,Florida,0.48,10
13,GA,Georgia,0.48,10
15,HI,Hawaii,0.93,3
16,ID,Idaho,0.15,38
17,IL,Illinois,0.23,28
18,IN,Indiana,0.12,43
19,IA,Iowa,0.19,32
20,KS,Kansas,0.18,33
21,KY,Kentucky,0.87,4
22,LA,Louisiana,0.4,16
23,ME,Maine,0.35,18
24,MD,Maryland,0.54,7
25,MA,Massachusetts,0.11,44
26,MI,Michigan,0.2,29
27,MN,Minnesota,0.49,9
28,MS,Mississippi,0.43,12
29,MO,Missouri,0.06,49
30,MT,Montana,0.14,40
31,NE,Nebraska,0.31,20
32,NV,Nevada,0.16,36
33,NH,New Hampshire,0.3,21
34,NJ,New Jersey,0.12,42
35,NM,New Mexico,0.41,15
36,NY,New York,0.14,39
37,NC,North Carolina,0.62,6
38,ND,North Dakota,0.42,13
39,OH,Ohio,0.18,34
40,OK,Oklahoma,0.4,16
41,OR,Oregon,0.08,45
42,PA,Pennsylvania,0.08,46
44,RI,Rhode Island,0.12,41
45,SC,South Carolina,0.77,5
46,SD,South Dakota,0.27,22
47,TN,Tennessee,1.29,1
48,TX,Texas,0.2,31
49,UT,Utah,0.41,14
50,VT,Vermont,0.27,23
51,VA,Virginia,0.26,26
53,WA,Washington,0.26,25
54,WV,West Virginia,0.18,35
55,WI,Wisconsin,0.06,48
56,WY,Wyoming,0.02,50
