id,stateAbbr,stateName,averageCellTaxRate,averageCellTaxRateRank
0,US,United States,0.0634,
1,AL,Alabama,0.0992,28
2,AK,Alaska,0.1553,6
4,AZ,Arizona,0.1225,20
5,AR,Arkansas,0.1481,8
6,CA,California,0.1282,15
8,CO,Colorado,0.1206,21
9,CT,Connecticut,0.0775,43
10,DE,Delaware,0.0645,46
11,DC,District of Columbia,0.1183,22*
12,FL,Florida,0.1074,26
13,GA,Georgia,0.0763,44
15,HI,Hawaii,0.0241,48
16,ID,Idaho,0.1825,4
17,IL,Illinois,0.1146,24
18,IN,Indiana,0.0898,33
19,IA,Iowa,0.1433,11
20,KS,Kansas,0.1092,25
21,KY,Kentucky,0.0964,29
22,LA,Louisiana,0.0885,34
23,ME,Maine,0.1335,14
24,MD,Maryland,0.0866,37
25,MA,Massachusetts,0.0809,40
26,MI,Michigan,0.1011,27
27,MN,Minnesota,0.0941,30
28,MS,Mississippi,0.1479,9
29,MO,Missouri,0.064,47
30,MT,Montana,0.1875,2
31,NE,Nebraska,0.0235,49
32,NV,Nevada,0.0881,35
33,NH,New Hampshire,0.0904,32
34,NJ,New Jersey,0.1251,17
35,NM,New Mexico,0.183,3
36,NY,New York,0.0869,36
37,NC,North Carolina,0.1261,16
38,ND,North Dakota,0.0848,39
39,OH,Ohio,0.1161,23
40,OK,Oklahoma,0.0198,50
41,OR,Oregon,0.1598,5
42,PA,Pennsylvania,0.1504,7
44,RI,Rhode Island,0.123,18
45,SC,South Carolina,0.1397,12
46,SD,South Dakota,0.123,18
47,TN,Tennessee,0.1168,22
48,TX,Texas,0.1375,13
49,UT,Utah,0.085,38
50,VT,Vermont,0.0681,45
51,VA,Virginia,0.1924,1
53,WA,Washington,0.0805,41
54,WV,West Virginia,0.0921,31
55,WI,Wisconsin,0.079,42
56,WY,Wyoming,0.0818,40
