id,stateAbbr,stateName,PropertyTaxAsAsPercentPropertyValue,propTaxAsPercentPropValueRank
0,US,United States,0.011260132,
1,AL,Alabama,0.004011722,49
2,AK,Alaska,0.010167101,22
4,AZ,Arizona,0.006963766,38
5,AR,Arkansas,0.006290665,42
6,CA,California,0.007585323,34
8,CO,Colorado,0.005913606,43
9,CT,Connecticut,0.016179667,8
10,DE,Delaware,0.005628584,44
11,DC,District of Columbia,0.0059,44*
12,FL,Florida,0.009927657,25
13,GA,Georgia,0.009350871,27
15,HI,Hawaii,0.002924558,50
16,ID,Idaho,0.007505363,36
17,IL,Illinois,0.020294736,2
18,IN,Indiana,0.008731504,28
19,IA,Iowa,0.014353564,13
20,KS,Kansas,0.013245931,15
21,KY,Kentucky,0.008042331,32
22,LA,Louisiana,0.005064003,48
23,ME,Maine,0.012316829,16
24,MD,Maryland,0.010258898,20
25,MA,Massachusetts,0.011484629,18
26,MI,Michigan,0.015032991,11
27,MN,Minnesota,0.011222471,19
28,MS,Mississippi,0.006440405,41
29,MO,Missouri,0.010169871,21
30,MT,Montana,0.007637909,33
31,NE,Nebraska,0.016736687,7
32,NV,Nevada,0.00753174,35
33,NH,New Hampshire,0.0199276,3
34,NJ,New Jersey,0.021551247,1
35,NM,New Mexico,0.006689506,39
36,NY,New York,0.014049644,14
37,NC,North Carolina,0.008456134,30
38,ND,North Dakota,0.0100036,24
39,OH,Ohio,0.015951258,9
40,OK,Oklahoma,0.00861142,29
41,OR,Oregon,0.010123684,23
42,PA,Pennsylvania,0.014849294,12
44,RI,Rhode Island,0.015297799,10
45,SC,South Carolina,0.00555063,45
46,SD,South Dakota,0.012130238,17
47,TN,Tennessee,0.00749256,37
48,TX,Texas,0.017033394,6
49,UT,Utah,0.006523718,40
50,VT,Vermont,0.017191185,5
51,VA,Virginia,0.008407502,31
53,WA,Washington,0.009599313,26
54,WV,West Virginia,0.005327164,47
55,WI,Wisconsin,0.017650244,4
56,WY,Wyoming,0.005475867,46
