id,stateAbbr,stateName,PropertyTaxAsAsPercentPropertyValue,propTaxAsPercentPropValueRank
0,US,United States,0.0111,
1,AL,Alabama,0.0040,49
2,AK,Alaska,0.0102,21
4,AZ,Arizona,0.0067,38
5,AR,Arkansas,0.0064,41
6,CA,California,0.0074,35
8,CO,Colorado,0.0056,44
9,CT,Connecticut,0.0170,6
10,DE,Delaware,0.0058,43
11,DC,District of Columbia,0.0059,43*
12,FL,Florida,0.0094,25
13,GA,Georgia,0.0092,26
15,HI,Hawaii,0.0030,50
16,ID,Idaho,0.0075,34
17,IL,Illinois,0.0205,2
18,IN,Indiana,0.0087,29
19,IA,Iowa,0.0150,12
20,KS,Kansas,0.0133,15
21,KY,Kentucky,0.0082,32
22,LA,Louisiana,0.0052,48
23,ME,Maine,0.0127,16
24,MD,Maryland,0.0104,20
25,MA,Massachusetts,0.0115,18
26,MI,Michigan,0.0144,13
27,MN,Minnesota,0.0111,19
28,MS,Mississippi,0.0065,40
29,MO,Missouri,0.0101,22
30,MT,Montana,0.0076,33
31,NE,Nebraska,0.0165,8
32,NV,Nevada,0.0066,39
33,NH,New Hampshire,0.0203,3
34,NJ,New Jersey,0.0221,1
35,NM,New Mexico,0.0068,37
36,NY,New York,0.0140,14
37,NC,North Carolina,0.0085,31
38,ND,North Dakota,0.0095,24
39,OH,Ohio,0.0162,9
40,OK,Oklahoma,0.0088,28
41,OR,Oregon,0.0098,23
42,PA,Pennsylvania,0.0151,11
44,RI,Rhode Island,0.0153,10
45,SC,South Carolina,0.0056,45
46,SD,South Dakota,0.0122,17
47,TN,Tennessee,0.0073,36
48,TX,Texas,0.0169,7
49,UT,Utah,0.0062,42
50,VT,Vermont,0.0180,4
51,VA,Virginia,0.0086,30
53,WA,Washington,0.0092,27
54,WV,West Virginia,0.0055,46
55,WI,Wisconsin,0.0173,5
56,WY,Wyoming,0.0055,47
