id,stateAbbr,stateName,debtPerCapita,debtPerCapitaRank
0,US,United States,3577.656346,
1,AL,Alabama,1845.933065,41
2,AK,Alaska,7756.829336,4
4,AZ,Arizona,2086.046193,39
5,AR,Arkansas,1673.87459,44
6,CA,California,3875.736681,14
8,CO,Colorado,3152.239482,27
9,CT,Connecticut,9844.792065,2
10,DE,Delaware,5248.690712,10
12,FL,Florida,1643.472447,45
13,GA,Georgia,1296.902258,47
15,HI,Hawaii,6117.429203,8
16,ID,Idaho,2226.908087,38
17,IL,Illinois,4993.888489,11
18,IN,Indiana,3393.473703,21
19,IA,Iowa,1959.238759,40
20,KS,Kansas,2603.845048,34
21,KY,Kentucky,3115.162803,28
22,LA,Louisiana,3766.817307,19
23,ME,Maine,3770.078566,18
24,MD,Maryland,4427.371899,13
25,MA,Massachusetts,11083.74796,1
26,MI,Michigan,3350.451435,23
27,MN,Minnesota,3052.281098,31
28,MS,Mississippi,2496.530299,36
29,MO,Missouri,3180.698269,26
30,MT,Montana,3104.327513,29
31,NE,Nebraska,954.08477,49
32,NV,Nevada,1159.512876,48
33,NH,New Hampshire,6170.37174,7
34,NJ,New Jersey,7470.778062,5
35,NM,New Mexico,3231.635852,25
36,NY,New York,6939.307906,6
37,NC,North Carolina,1738.935707,43
38,ND,North Dakota,2726.535056,33
39,OH,Ohio,2850.921214,32
40,OK,Oklahoma,2275.185883,37
41,OR,Oregon,3241.811011,24
42,PA,Pennsylvania,3675.226243,20
44,RI,Rhode Island,8524.90017,3
45,SC,South Carolina,3088.606018,30
46,SD,South Dakota,3828.013592,16
47,TN,Tennessee,912.8486452,50
48,TX,Texas,1756.063592,42
49,UT,Utah,2496.722375,35
50,VT,Vermont,5336.102051,9
51,VA,Virginia,3367.724749,22
53,WA,Washington,4495.17283,12
54,WV,West Virginia,3862.943895,15
55,WI,Wisconsin,3826.949457,17
56,WY,Wyoming,1424.284303,46
