id,stateAbbr,stateName,debtPerCapita,debtPerCapitaRank
0,US,United States,3543,
1,AL,Alabama,1800,42
2,AK,Alaska,8005,4
4,AZ,Arizona,2037,38
5,AR,Arkansas,1598,43
6,CA,California,3829,18
8,CO,Colorado,3028,29
9,CT,Connecticut,10801,2
10,DE,Delaware,4742,11
12,FL,Florida,1374,45
13,GA,Georgia,1251,47
15,HI,Hawaii,6764,7
16,ID,Idaho,1962,39
17,IL,Illinois,4829,10
18,IN,Indiana,3276,25
19,IA,Iowa,1955,40
20,KS,Kansas,2588,34
21,KY,Kentucky,3234,26
22,LA,Louisiana,3862,17
23,ME,Maine,3556,21
24,MD,Maryland,4631,12
25,MA,Massachusetts,11231,1
26,MI,Michigan,3359,23
27,MN,Minnesota,2934,31
28,MS,Mississippi,2435,35
29,MO,Missouri,3013,30
30,MT,Montana,2661,33
31,NE,Nebraska,1049,49
32,NV,Nevada,1084,48
33,NH,New Hampshire,5764,8
34,NJ,New Jersey,7315,5
35,NM,New Mexico,3380,22
36,NY,New York,7015,6
37,NC,North Carolina,1588,44
38,ND,North Dakota,3820,19
39,OH,Ohio,2873,32
40,OK,Oklahoma,2152,37
41,OR,Oregon,3055,28
42,PA,Pennsylvania,3711,20
44,RI,Rhode Island,8430,3
45,SC,South Carolina,3134,27
46,SD,South Dakota,4056,15
47,TN,Tennessee,912,50
48,TX,Texas,1801,41
49,UT,Utah,2403,36
50,VT,Vermont,5617,9
51,VA,Virginia,3285,24
53,WA,Washington,4514,13
54,WV,West Virginia,4156,14
55,WI,Wisconsin,4012,16
56,WY,Wyoming,1329,46
