id,stateAbbr,stateName,fundedRatio,rank
1,AL,Alabama,0.709,26
2,AK,Alaska,0.666,30
4,AZ,Arizona,0.622,39
5,AR,Arkansas,0.769,21
6,CA,California,0.689,27
8,CO,Colorado,0.471,46
9,CT,Connecticut,0.457,47
10,DE,Delaware,0.828,11
12,FL,Florida,0.793,15
13,GA,Georgia,0.792,16
15,HI,Hawaii,0.548,43
16,ID,Idaho,0.913,5
17,IL,Illinois,0.384,48
18,IN,Indiana,0.65,33
19,IA,Iowa,0.823,12
20,KS,Kansas,0.671,29
21,KY,Kentucky,0.339,50
22,LA,Louisiana,0.651,31
23,ME,Maine,0.819,13
24,MD,Maryland,0.686,28
25,MA,Massachusetts,0.599,41
26,MI,Michigan,0.651,31
27,MN,Minnesota,0.633,36
28,MS,Mississippi,0.616,40
29,MO,Missouri,0.779,18
30,MT,Montana,0.728,25
31,NE,Nebraska,0.902,8
32,NV,Nevada,0.744,24
33,NH,New Hampshire,0.627,37
34,NJ,New Jersey,0.358,49
35,NM,New Mexico,0.625,38
36,NY,New York,0.945,4
37,NC,North Carolina,0.907,6
38,ND,North Dakota,0.638,35
39,OH,Ohio,0.801,14
40,OK,Oklahoma,0.779,18
41,OR,Oregon,0.831,10
42,PA,Pennsylvania,0.553,42
44,RI,Rhode Island,0.537,45
45,SC,South Carolina,0.543,44
46,SD,South Dakota,1.001,2
47,TN,Tennessee,0.965,3
48,TX,Texas,0.761,22
49,UT,Utah,0.903,7
50,VT,Vermont,0.643,34
51,VA,Virginia,0.772,20
53,WA,Washington,0.896,9
54,WV,West Virginia,0.789,17
55,WI,Wisconsin,1.026,1
56,WY,Wyoming,0.759,23
