id,stateAbbr,stateName,peoplePerHousehold2017,peoplePerHousehold2018
0,US,United States,2.63,2.63
1,AL,Alabama,2.55,2.57
2,AK,Alaska,2.81,2.79
4,AZ,Arizona,2.68,2.68
5,AR,Arkansas,2.52,2.53
6,CA,California,2.96,2.96
8,CO,Colorado,2.55,2.56
9,CT,Connecticut,2.55,2.51
10,DE,Delaware,2.61,2.56
11,DC,District of Columbia,2.64,2.67
12,FL,Florida,2.71,2.7
13,GA,Georgia,3.02,3.02
15,HI,Hawaii,2.67,2.69
16,ID,Idaho,2.61,2.56
17,IL,Illinois,2.53,2.5
18,IN,Indiana,2.41,2.41
19,IA,Iowa,2.52,2.5
20,KS,Kansas,2.49,2.5
21,KY,Kentucky,2.61,2.61
22,LA,Louisiana,2.34,2.28
23,ME,Maine,2.68,2.66
24,MD,Maryland,2.53,2.54
25,MA,Massachusetts,2.49,2.47
26,MI,Michigan,2.49,2.5
27,MN,Minnesota,2.62,2.61
28,MS,Mississippi,2.47,2.44
29,MO,Missouri,2.38,2.4
30,MT,Montana,2.46,2.45
31,NE,Nebraska,2.71,2.65
32,NV,Nevada,2.45,2.47
33,NH,New Hampshire,2.74,2.69
34,NJ,New Jersey,2.65,2.58
35,NM,New Mexico,2.63,2.57
36,NY,New York,2.53,2.52
37,NC,North Carolina,2.31,2.3
38,ND,North Dakota,2.44,2.43
39,OH,Ohio,2.58,2.58
40,OK,Oklahoma,2.5,2.5
41,OR,Oregon,2.47,2.44
42,PA,Pennsylvania,2.46,2.5
44,RI,Rhode Island,2.54,2.57
45,SC,South Carolina,2.42,2.46
46,SD,South Dakota,2.53,2.54
47,TN,Tennessee,2.84,2.87
48,TX,Texas,3.14,3.12
49,UT,Utah,2.32,2.3
50,VT,Vermont,2.62,2.61
51,VA,Virginia,2.55,2.55
53,WA,Washington,2.42,2.39
54,WV,West Virginia,2.41,2.39
55,WI,Wisconsin,2.47,2.45
56,WY,Wyoming,2.28,2.31
